counter,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,timestamp,key_press
20,-233.40000915527344,121.80000305175781,199.64999389648438,-136.35000610351562,-114.75000762939453,369.53399658203125,3.3000001907348633,-26.850000381469727,341.7040100097656,62.400001525878906,-49.95000076293945,381.3919982910156,-256.20001220703125,98.4000015258789,313.3899841308594,-67.05000305175781,237.90000915527344,366.87200927734375,19.350000381469727,328.5,357.6759948730469,50.10000228881836,371.8500061035156,402.2040100097656,1756211923.5173676,none
21,-229.50001525878906,125.25000762939453,207.8780059814453,-138.75,-118.05000305175781,370.9859924316406,-2.4000000953674316,-16.650001525878906,348.4800109863281,66.45000457763672,-51.000003814697266,385.2640075683594,-257.4000244140625,95.55000305175781,318.95599365234375,-76.5,235.0500030517578,362.75799560546875,14.100000381469727,336.0,360.5799865722656,51.150001525878906,372.9000244140625,396.39599609375,1756211923.521367,none
22,-236.25001525878906,121.6500015258789,203.03799438476562,-135.0,-124.50000762939453,372.43798828125,-0.6000000238418579,-23.100000381469727,348.2380065917969,68.70000457763672,-54.750003814697266,382.843994140625,-262.8000183105469,98.25000762939453,301.77398681640625,-72.60000610351562,240.00001525878906,364.9360046386719,14.700000762939453,319.3500061035156,372.67999267578125,49.650001525878906,372.45001220703125,396.63800048828125,1756211923.5249004,none
23,-232.0500030517578,120.45000457763672,204.2480010986328,-142.5,-120.00000762939453,361.3059997558594,1.9500000476837158,-22.200000762939453,349.447998046875,62.55000305175781,-51.900001525878906,395.1860046386719,-253.65000915527344,95.4000015258789,310.4859924316406,-72.9000015258789,235.95001220703125,367.1139831542969,21.75,327.9000244140625,367.5979919433594,46.20000076293945,372.45001220703125,406.3179931640625,1756211923.5289137,none
24,-229.20001220703125,119.85000610351562,188.75999450683594,-137.85000610351562,-118.05000305175781,379.45599365234375,2.4000000953674316,-23.25,346.54400634765625,67.80000305175781,-49.20000076293945,394.7019958496094,-253.65000915527344,104.25000762939453,308.0660095214844,-69.45000457763672,244.50001525878906,369.53399658203125,17.55000114440918,327.75,372.19598388671875,51.30000305175781,376.5,397.6059875488281,1756211923.5334055,none
25,-238.65000915527344,120.60000610351562,193.35800170898438,-137.70001220703125,-120.75000762939453,381.6340026855469,4.5,-25.500001907348633,346.302001953125,61.80000305175781,-51.750003814697266,395.4280090332031,-262.5,96.9000015258789,313.6319885253906,-71.4000015258789,237.45001220703125,377.5199890136719,14.100000381469727,325.0500183105469,361.7900085449219,51.60000228881836,368.70001220703125,402.68798828125,1756211923.5374107,none
26,-226.65000915527344,123.9000015258789,198.44000244140625,-143.25,-113.70000457763672,376.552001953125,2.700000047683716,-18.450000762939453,346.05999755859375,70.20000457763672,-50.85000228881836,378.97198486328125,-257.4000244140625,90.75,308.0660095214844,-74.85000610351562,243.00001525878906,370.7439880371094,14.700000762939453,330.1500244140625,364.2099914550781,52.20000076293945,365.8500061035156,401.7200012207031,1756211923.5414116,none
27,-229.50001525878906,122.25000762939453,190.93800354003906,-142.65000915527344,-115.35000610351562,372.19598388671875,-0.45000001788139343,-21.450000762939453,346.54400634765625,61.20000076293945,-49.650001525878906,382.60198974609375,-261.0,96.75000762939453,307.3399963378906,-77.55000305175781,243.60000610351562,371.9540100097656,15.90000057220459,329.4000244140625,362.5159912109375,51.45000076293945,361.6500244140625,402.44598388671875,1756211923.5459454,none
28,-229.8000030517578,120.30000305175781,197.95599365234375,-136.8000030517578,-118.05000305175781,375.583984375,0.15000000596046448,-26.100000381469727,327.9100036621094,61.500003814697266,-49.35000228881836,381.6340026855469,-254.40000915527344,101.25000762939453,304.6780090332031,-70.95000457763672,238.50001525878906,369.04998779296875,16.80000114440918,325.0500183105469,365.6619873046875,48.150001525878906,373.5,407.5279846191406,1756211923.548954,none
29,-232.0500030517578,119.85000610351562,199.4080047607422,-142.5,-115.80000305175781,382.3599853515625,1.8000000715255737,-30.750001907348633,348.2380065917969,67.95000457763672,-46.650001525878906,383.3280029296875,-257.8500061035156,97.05000305175781,313.6319885253906,-72.30000305175781,236.85000610351562,370.01800537109375,20.55000114440918,330.3000183105469,361.0639953613281,52.95000076293945,366.9000244140625,391.3139953613281,1756211923.5534651,none
